date,close,volume,open,high,low
16:00,1.11,1897503,1.18,1.19,1.09
2018/08/23,1.11,1898097,1.18,1.19,1.09
2018/08/22,1.18,1726147,1.23,1.23,1.15
2018/08/21,1.23,2206188,1.26,1.28,1.2
2018/08/20,1.225,2001846,1.3,1.35,1.22
2018/08/17,1.315,2441629,1.44,1.44,1.27
2018/08/16,1.455,1757166,1.59,1.6399,1.4215
2018/08/15,1.59,2299172,1.77,1.82,1.58
2018/08/14,1.83,741098,1.8,1.85,1.785
2018/08/13,1.79,988472,1.9,1.915,1.78
2018/08/10,1.91,608798,1.9,1.98,1.89
2018/08/09,1.92,534758,1.9,2.01,1.9
2018/08/08,1.98,875594,1.92,2.01,1.87
2018/08/07,1.91,560527,1.87,1.93,1.83
2018/08/06,1.86,403790,1.85,1.89,1.85
2018/08/03,1.85,330141,1.81,1.88,1.81
2018/08/02,1.82,650353,1.82,1.88,1.8
2018/08/01,1.85,914878,1.82,1.9,1.8
2018/07/31,1.84,1163077,1.76,1.87,1.76
2018/07/30,1.83,1691125,1.9,1.91,1.76
2018/07/27,1.91,1966745,2.04,2.0742,1.86
2018/07/26,2.05,482384,2.04,2.1255,2.04
2018/07/25,2.07,747732,2.05,2.09,2.01
2018/07/24,2.05,1414964,2.14,2.189,2.04
2018/07/23,2.15,699223,2.17,2.2,2.13
2018/07/20,2.21,513147,2.22,2.24,2.18
2018/07/19,2.21,822335,2.16,2.23,2.16
2018/07/18,2.17,915740,2.2,2.209,2.13
2018/07/17,2.2,933985,2.18,2.24,2.15
2018/07/16,2.18,1354520,2.28,2.32,2.165
2018/07/13,2.26,1076031,2.31,2.42,2.25
2018/07/12,2.33,556756,2.38,2.38,2.3
2018/07/11,2.39,728898,2.28,2.42,2.28
2018/07/10,2.31,525761,2.28,2.36,2.28
2018/07/09,2.3,633760,2.25,2.46,2.25
2018/07/06,2.27,797645,2.3,2.32,2.25
2018/07/05,2.31,537252,2.29,2.3576,2.2748
2018/07/03,2.28,656870,2.35,2.4229,2.27
2018/07/02,2.34,1275285,2.32,2.5,2.3001
2018/06/29,2.37,1163135,2.27,2.37,2.22
2018/06/28,2.26,1142599,2.16,2.29,2.135
2018/06/27,2.17,1246506,2.29,2.34,2.16
2018/06/26,2.3,984103,2.27,2.335,2.27
2018/06/25,2.26,1930162,2.39,2.4,2.23
2018/06/22,2.42,3625414,2.39,2.48,2.36
2018/06/21,2.37,1252671,2.48,2.49,2.35
2018/06/20,2.47,974714,2.5,2.58,2.445
2018/06/19,2.48,1074949,2.53,2.59,2.46
2018/06/18,2.58,1307362,2.58,2.66,2.53
2018/06/15,2.58,1635049,2.54,2.68,2.51
2018/06/14,2.57,2599963,2.68,2.83,2.55
2018/06/13,2.66,3112426,2.49,2.79,2.45
2018/06/12,2.45,3346822,2.52,2.67,2.43
2018/06/11,2.41,1941927,2.28,2.47,2.24
2018/06/08,2.3,1510686,2.29,2.35,2.245
2018/06/07,2.28,1750036,2.19,2.35,2.19
2018/06/06,2.19,1787693,2.23,2.27,2.1714
2018/06/05,2.28,3465138,2.13,2.39,2.08
2018/06/04,2.15,2481772,2.3,2.3,2.11
2018/06/01,2.28,5505474,2.81,2.81,2.27
2018/05/31,2.81,3737754,3,3.02,2.8
2018/05/30,3.21,3781378,3.46,3.46,3.14
2018/05/29,3.44,1080400,3.48,3.59,3.405
2018/05/25,3.49,1784506,3.31,3.6,3.31
2018/05/24,3.31,771963,3.4,3.4,3.25
2018/05/23,3.39,2101025,3.33,3.42,3.22
